Unnamed: 0,index,symbol,long name,currency,exchange,industry,description,sector,country,ipo date,shorter name,Type,Industries,Similar Companies,price,mktCap,name raw,currency symbol,robinhood name,short name,Warrant,shortest name,url name, smart_order ,random csv equations,pure name,shortest - pure diff,first_letter
64.0,11175.0,ORCL,Oracle Corp,USD,NYSE,Software Infrastructure,"Oracle Corp. engages in the provision of products and services that address all aspects of corporate information technology environments. The company is headquartered in Redwood City, California and currently employs 136,000 full-time employees. The firm's businesses include cloud and on-premise software, hardware and services. Its cloud and on-premise software business consists of three segments, including cloud software and on-premise software, which includes Software as a Service (SaaS) and Platform as a Service (PaaS) offerings, cloud infrastructure as a service (IaaS) and software license updates and product support. Its hardware business consists of two segments, including hardware products and hardware support. The firm's services business includes the remainder of the Company's segments. Its services business includes activities, such as consulting services, enhanced support services and education services, among others.",Technology,US,7/15/2013,Oracle,Stock,"['Technology', 'Software - Infrastructure', 'Application Software']","['MSFT', 'INTU', 'CTXS', 'ADBE', 'QCOM', 'SYMC', 'SAP', 'RHT', 'CRM', 'XLK']",57.2,172000000000.0,Oracle Corp,$,0,Oracle,False,Oracle,oracle,"$900,000,000,172,000,000,000.00 ",,Oracle,0.0,O
585.0,10812.0,O,Realty Income Corp,USD,NYSE,REIT Retail,"Realty Income Corp. is a real estate company, which engages in generating dependable monthly cash dividends from a consistent and predictable level of cash flow from operations. The company is headquartered in San Diego, California and currently employs 165 full-time employees. The firm is engaged in in-house acquisition, portfolio management, asset management, credit research, real estate research, legal, finance and accounting, information technology and capital markets capabilities. As of December 31, 2016, the Company owned a diversified portfolio of 4,944 properties located in 49 states and Puerto Rico, with over 83.0 million square feet of leasable space leased to 248 different commercial tenants doing business in 47 separate industries. As of December 31, 2016, of the 4,944 properties in the portfolio, 4,920, or 99.5%, were single-tenant properties, and the remaining were multi-tenant properties. As of December 31, 2016, of the 4,920 single-tenant properties, 4,836 were leased with a weighted average remaining lease term (excluding rights to extend a lease at the option of the tenant) of approximately 9.8 years.",Real Estate,US,2/10/2012,Realty Income,Stock,"['Real Estate', 'REIT - Retail', 'REITs']","['MPW', 'PMT', 'COR', 'TWO']",63.44,22266806300.0,Realty Income Corp,$,0,Realty Income,False,Realty ome,realty-income,"$90,000,000,022,266,800,000.00 ",,Realty ome,0.0,O
586.0,8237.0,ODFL,Old Dominion Freight Line Inc,USD,NASDAQ,Trucking,"Old Dominion Freight Line, Inc. engages in the provision of less-than-truckload services. The company is headquartered in Thomasville, North Carolina and currently employs 21,279 full-time employees. The firm's LTL services include ground and air expedited transportation for time-sensitive shipments, consumer household pickup and delivery and freight delivery services throughout North America. In addition to its LTL services, the Company offers a range of other value-added services that include container drayage, truckload brokerage, supply chain consulting and warehousing. As of December 31, 2016, the Company operated 226 service center locations, of which it owned 182 and leased 44. As of December 31, 2016, its network included 10 breakbulk facilities located in Rialto, California; Atlanta, Georgia; Columbus, Ohio; Indianapolis, Indiana; Greensboro, North Carolina; Harrisburg, Pennsylvania; Memphis and Morristown, Tennessee; Dallas, Texas, and Salt Lake City, Utah. As of December 31, 2016, the Company owned 7,994 tractors.",Industrials,US,10/24/1991,Old Dominion Freight Line,Stock,"['Industrials', 'Trucking', 'Transportation & Logistics']","['HTLD', 'JBHT', 'WERN', 'ULH', 'SAIA', 'FDX', 'RRTS', 'ARCB', 'KNX']",198.0,23231537200.0,Old Dominion Freight Line Inc,$,Old Dominion Freight Line,Old Dominion Freight Line,False,Old Dominion Freight Line,old-dominion-freight,"$90,000,000,023,231,500,000.00 ",,Old Dominion Freight Line,0.0,O
587.0,10063.0,OKE,ONEOK Inc,USD,NYSE,Oil & Gas Midstream,"ONEOK, Inc. engages in gathering, processing, fractionating, transporting, storing, and marketing of natural gas. The company is headquartered in Tulsa, Oklahoma and currently employs 2,684 full-time employees. The firm owns and operates natural gas liquids (NGL) systems, and is engaged in the gathering, processing, storage and transportation of natural gas. THe firm's operations include a 38,000-mile integrated network of NGL and natural gas pipelines, processing plants, fractionators and storage facilities in the Mid-Continent, Williston, Permian and Rocky Mountain regions. The firm operates through three business segments. The Natural Gas Gathering and Processing segment provides midstream services to contracted producers in North Dakota, Montana, Wyoming, Kansas and Oklahoma. The Natural Gas Liquids segment owns and operates facilities that gather, fractionate, treat and distribute NGLs and store NGL products primarily in the Mid-Continental, Permian Basin and the Rocky Mountain regions. The Natural Gas Pipelines segment provides transportation and storage services to end users.",Energy,US,5/24/1954,ONEOK,Stock,"['Energy', 'Oil & Gas Midstream', 'Oil & Gas - Midstream']","['SRE', 'ATO', 'NFG', 'SWX', 'UGI', 'EQT', 'WES']",32.12,14274030600.0,ONEOK Inc,$,0,ONEOK,False,ONEOK,oneok,"$90,000,000,014,274,000,000.00 ",,ONEOK,0.0,O
588.0,10106.0,OKTA,Okta Inc,USD,NASDAQ,Software Infrastructure,"Okta, Inc. engages in the provision of identity management platform for the enterprise. The company is headquartered in San Francisco, California and currently employs 2,116 full-time employees. The firm's Okta Identity Cloud platform provides identity management solutions that enable customers to secure their users and connect them to technology and applications. The company also connects enterprises to their customers, employees, contractors, and partners. The company allows users to access a range of cloud applications, Websites, mobile applications and service from various devices. Its platform is used by information technology (IT) organizations to secure their enterprise and by developers to build customer-facing Websites and applications. Okta Identity Cloud consists of a suite of products to manage and secure identities. The company offers a range of products, such as Adaptive Multi-Factor Authentication, Universal Directory, Lifecycle Management products, Single Sign-On, application program interface (API) Access Management and Mobility Management.",Technology,US,4/7/2017,Okta,Stock,"['Technology', 'Software - Infrastructure', 'Application Software']","['PRGS', 'PXLW', 'XLK']",219.41,28103788500.0,Okta Inc,$,0,Okta,False,Okta,okta,"$90,000,000,028,103,700,000.00 ",,Okta,0.0,O
589.0,10598.0,OLED,Universal Display Corp,USD,NASDAQ,Semiconductor Equipment & Materials,"Universal Display Corp. engages in research, development, and commercialization of organic light emitting diode, technologies, and materials. The company is headquartered in Trenton, New Jersey and currently employs 265 full-time employees. The firm also supplies its OLED materials to manufacturers of OLED displays and lighting products for evaluation and for use in product development and for pre-commercial activities, and it also provides technical assistance and support to these manufacturers. The firm has produced and sold phosphorescent emitter materials that produce red, yellow, green and light-blue light, which are combined in various ways for the display and lighting markets. The company has also developed host materials for the emissive layer. The firm is a supplier of phosphorescent emitter materials to OLED product manufacturers. Phosphorescent OLEDs utilize specialized materials and device structures that allow OLEDs to emit light through a process known as phosphorescence.",Technology,US,5/14/1992,Universal Display,Stock,"['Technology', 'Semiconductor Equipment & Materials', 'Semiconductors']","['KOPN', 'SNE', 'PHG', 'AUO', 'LPL', 'MVIS', 'XLK']",212.41,10005445600.0,Universal Display Corp,$,0,Universal Display,False,Universal Display,universal-display,"$90,000,000,010,005,400,000.00 ",,Universal Display,0.0,O
590.0,11683.0,OMC,Omnicom Group Inc,USD,NYSE,Advertising Agencies,"Omnicom Group, Inc. is a holding company, which engages in the management and provision of advertising agencies. The company is headquartered in New York, New York and currently employs 70,400 full-time employees. The firm provides advertising, marketing and corporate communications services. The firm's branded networks and agencies operate in all markets around the world and provide a range of services, which it groups into four disciplines: advertising, customer relationship management (CRM), public relations and specialty communications. The firm caters to various industry sectors, such as food and beverage, consumer products, pharmaceuticals and healthcare, financial services, technology, travel and entertainment, telecommunications and retail. The firm's branded networks and agencies conduct business on a global basis and operate in the geographic regions, such as The Americas, which includes North America and Latin America; EMEA, which includes Europe, the Middle East and Africa, and Asia Pacific, which includes Australia, China, India, Japan, Korea, New Zealand, Singapore and other Asian countries.",Communication Services,US,6/27/1990,Omnicom,Stock,"['Consumer Cyclical', 'Advertising Agencies', 'Advertising & Marketing Services']","['MDCA', 'EBAY', 'IPG', 'ADS', 'CCO', 'LAMR']",57.23,12302904300.0,Omnicom Group Inc,$,0,Omnicom,False,Omnicom,omnicom,"$90,000,000,012,302,900,000.00 ",,Omnicom,0.0,O
591.0,10641.0,ON,ON Semiconductor Corp,USD,NASDAQ,Semiconductors,"ON Semiconductor Corp. engages in the design, manufacture, and marketing of portfolio of semiconductor components. The company is headquartered in Phoenix, Arizona and currently employs 35,700 full-time employees. The firm's segments include Power Solutions Group, Analog Solutions Group and Image Sensor Group. The Power Solutions Group offers a range of discrete, module and integrated semiconductor products. The Analog Solutions Group designs and develops analog, mixed-signal and logic application specific integrated circuits (ASICs) and application specific standard products (ASSPs), and power solutions. The Image Sensor Group designs and develops complementary metal oxide semiconductor (CMOS) and charge-coupled device (CCD) image sensors, as well as proximity sensors, image signal processors, and actuator drivers for autofocus and image stabilization for various end users in the automotive, industrial, consumer, wireless, medical, and aerospace/defense markets.",Technology,US,11/16/2012,ON Semiconductor,Stock,"['Technology', 'Semiconductors']","['DIOD', 'MXIM', 'SMTC', 'STM', 'VSH', 'TXN', 'ADI', 'XLK']",27.93,11485486100.0,ON Semiconductor Corp,$,0,ON Semiconductor,False,ON Semiconductor,on-semiconductor,"$90,000,000,011,485,400,000.00 ",,ON Semiconductor,0.0,O
592.0,5328.0,ORAN,Orange,USD,NYSE,Telecom Services,,Communication Services,FR,,Orange,Stock,"['Communication Services', 'Telecom Services']","['MSFT', 'TEF', 'MBT', 'BT', 'VOD']",11.79,31478239200.0,Orange,$,Orange,Orange,False,Orange,orange,"$90,000,000,031,478,200,000.00 ",,Orange,0.0,O
593.0,8757.0,ORLY,O'Reilly Automotive Inc,USD,NASDAQ,Specialty Retail,"O'Reilly Automotive, Inc. owns and operates retail outlets in the United States. The company is headquartered in Springfield, Missouri and currently employs 49,476 full-time employees. The firm sells its products to both do-it-yourself (DIY) and professional service provider customers. The firm's product line includes new and remanufactured automotive hard parts, such as alternators, starters, fuel pumps, water pumps, brake system components, batteries, belts, hoses, temperature control, chassis parts, driveline parts and engine parts; maintenance items, such as oil, antifreeze, fluids, filters, wiper blades, lighting, engine additives and appearance products, and accessories, such as floor mats, seat covers and truck accessories. The firm's stores offer various services and programs to its customers, such as used oil, oil filter and battery recycling; battery diagnostic testing; electrical and module testing; check engine light code extraction; loaner tool program; custom hydraulic hoses, and machine shops.",Consumer Cyclical,US,4/22/1993,O'Reilly Automotive,Stock,"['Consumer Cyclical', 'Specialty Retail', 'Retail - Apparel & Specialty']","['MNRO', 'LKQ', 'PRTS', 'AZO', 'GPC', 'AAP']",463.38,33571139600.0,O'Reilly Automotive Inc,$,O'Reilly Auto Parts,O'Reilly Auto Parts,False,O'Reilly Auto Parts,o-reilly-auto-parts,"$90,000,000,033,571,100,000.00 ",,O'Reilly Auto Parts,0.0,O
