Column1,index,symbol,long name,currency,exchange,industry,description,sector,country,ipo date,shorter name,Type,Industries,Similar Companies,price,mktCap,name raw,currency symbol,robinhood name,short name,Warrant,shortest name,url name, smart_order ,random csv equations,pure name,shortest - pure diff,order,first_letter
101.0,10889.0,XOM,Exxon Mobil Corp,USD,NYSE,Oil & Gas Integrated,"Exxon Mobil Corp. engages in the exploration, development, and distribution of oil, gas, and petroleum products. The company is headquartered in Irving, Texas and currently employs 71,000 full-time employees. The firm is engaged in the exploration, production, transportation and sale of crude oil and natural gas, and the manufacture, transportation and sale of petroleum products. The firm also manufactures and markets commodity petrochemicals, including olefins, aromatics, polyethylene and polypropylene plastics, and a range of specialty products. The firm's segments include Upstream, Downstream, Chemical, and Corporate and Financing. The Upstream segment operates to explore for and produce crude oil and natural gas. The Downstream operates to manufacture and sell petroleum products. The Chemical segment operates to manufacture and sell petrochemicals. The firm has exploration and development activities in projects located in the United States, Canada/South America, Europe, Africa, Asia and Australia/Oceania.",Energy,US,3/17/1980,Exxon Mobil,Stock,"['Energy', 'Oil & Gas Integrated', 'Oil & Gas - Integrated']","['E', 'TOT', 'HON', 'OXY', 'BP', 'CVX', 'COP', 'HES', 'HFC', 'PSX']",36.48,154000000000.0,Exxon Mobil Corp,$,0,Exxon Mobil,False,Exxon Mobil,exxon-mobil,"$900,000,000,154,000,000,000.00 ",,Exxon Mobil,0.0,102,X
818.0,9535.0,XEL,Xcel Energy Inc,USD,NASDAQ,Utilities Regulated Electric,"Xcel Energy, Inc. operates as a holding company, which engages in the generation, purchase, transmission, distribution and sale of electricity. The company is headquartered in Minneapolis, Minnesota and currently employs 11,043 full-time employees. The firm's operations include the activity of four utility subsidiaries that serve electric and natural gas customers in eight states. The firm's segments include regulated electric utility, regulated natural gas utility and all other. The firm's utility subsidiaries include NSP-Minnesota, NSP-Wisconsin, Public Service Company of Colorado (PSCo) and Southwestern Public Service Co. (SPS), which serve customers in portions of Colorado, Michigan, Minnesota, New Mexico, North Dakota, South Dakota, Texas and Wisconsin. Along with WYCO Development LLC (WYCO), a joint venture formed with Colorado Interstate Gas Company, LLC (CIG) to develop and lease natural gas pipelines storage and compression facilities, and WestGas InterState, Inc. (WGI), an interstate natural gas pipeline company, these companies comprise the regulated utility operations.",Utilities,US,2/28/1949,Xcel Energy,Stock,"['Utilities', 'Utilities - Regulated Electric', 'Utilities - Regulated']","['DTE', 'PCG', 'LNT', 'CMS', 'IDA', 'AVA', 'PPL', 'PNM', 'DUK', 'WEC', 'XLU']",74.69,39246459000.0,Xcel Energy Inc,$,Xcel Energy,Xcel Energy,False,Xcel Energy,xcel-energy,"$90,000,000,039,246,400,000.00 ",,Xcel Energy,0.0,819,X
819.0,11771.0,XL,XL Group Ltd.,USD,NYSE,Insurance Property & Casualty,,Financial Services,,,XL,Stock,"['Financial Services', 'Insurance - Property & Casualty']",[],57.59,14973400000.0,XL Group Ltd.,$,0,XL,False,XL,xl,"$90,000,000,014,973,400,000.00 ",,XL,0.0,820,X
820.0,10020.0,XLNX,Xilinx Inc,USD,NASDAQ,Semiconductors,"Xilinx, Inc. engages in the design and development of programmable logic semiconductor devices and the related software design tools. The company is headquartered in San Jose, California and currently employs 4,433 full-time employees. The firm's programmable devices and associated technologies include integrated circuits (ICs) in the form of programmable logic devices (PLDs), including programmable System on Chips (SoCs) and three-dimensional ICs (3D ICs); software design tools to program the PLDs; targeted reference designs; printed circuit boards, and intellectual property (IP), which consists of Xilinx, and various third-party verification and IP cores. The firm provides design services, customer training, field engineering and technical support. Its PLDs include field programmable gate arrays (FPGAs), complex programmable logic devices (CPLDs) that its customers program to perform desired logic functions, and programmable SoCs, which combine (Advanced reduced instruction set computing (RISC) Machines (ARM)) processor-based systems with programmable logic in a single device.",Technology,US,6/1/1990,Xilinx,Stock,"['Technology', 'Semiconductors']","['CY', 'LSCC', 'QCOM', 'QUIK', 'ON', 'IBM', 'TXN', 'XLK']",127.06,31145201700.0,Xilinx Inc,$,0,Xilinx,False,Xilinx,xilinx,"$90,000,000,031,145,200,000.00 ",,Xilinx,0.0,821,X
821.0,7483.0,XP,Xp Inc,BRL,NASDAQ,Capital Markets,"XP, Inc. operates as a technology-driven financial services platform. The company is headquartered in Vila Olimpia, Sao Paulo and currently employs 2,091 full-time employees. The firm offers financial products and services through multiple channels, such as brokerage, investment advisory and asset management services. Its business activities include educating new classes of investors, democratizing access to a multiple financial service, developing financial products and technology applications, and providing customer service. The firm operates Open Product Platform, a financial product platform, which provides clients with access to over 600 investment products, including equity and fixed income securities, mutual and hedge funds, structured products, life insurance, pension plans, real-estate investment funds (REITs), among others. The firm serves retail clients, international clients and corporate and institutional clients in Brazil, such us fund managers, private banks, corporate treasuries and insurance companies.",Financial Services,BR,12/11/2019,Xp Inc,Stock,,,39.52,21807136800.0,Xp Inc,BRL,XP,XP,False,XP,xp,"$90,000,000,021,807,100,000.00 ",,XP,0.0,822,X
822.0,9116.0,XRAY,DENTSPLY SIRONA Inc,USD,NASDAQ,Medical Instruments & Supplies,"Dentsply Sirona, Inc. engages in the design, manufacture, sales, and distribution of professional dental products and technologies. The company is headquartered in Charlotte, North Carolina and currently employs 16,400 full-time employees. The firm develops, manufactures, and markets solutions offering, including dental and oral health products, as well as other consumable medical devices. The company operates through two segments: Dental and Healthcare Consumables, and Technologies. The dental industry encompasses the diagnosis, treatment and prevention of disease and ailments of the teeth, gums and supporting bone. Its principal dental product categories are dental consumable products, dental laboratory products, dental specialty products and dental equipment. Additionally, its consumable medical device products are used for urological and surgical applications. These products are produced by the Company in the United States and internationally and are distributed throughout the world under various brand names, including ANKYLOS, AQUASIL ULTRA, ARTICADENT, ATLANTIS, CALIBRA, CAULK, CAVITRON, CELTRA, DELTON, DENTSPLY, DETREY and DYRACT.",Healthcare,US,8/12/1987,DENTSPLY SIRONA,Stock,"['Healthcare', 'Medical Instruments & Supplies', 'Medical Instruments & Equipment']","['IART', 'ALGN', 'PDEX', 'CMD', 'DHR', 'ZBH', 'MMM', 'XLV']",49.85,10894966800.0,DENTSPLY SIRONA Inc,$,0,DENTSPLY SIRONA,False,DENTSPLY SIRONA,dentsply-sirona,"$90,000,000,010,894,900,000.00 ",,DENTSPLY SIRONA,0.0,823,X
823.0,10073.0,XYL,Xylem Inc,USD,NYSE,Specialty Industrial Machinery,"Xylem, Inc. engages in the design, manufacture and application of highly engineered technologies for the water industry. The company is headquartered in Rye Brook, New York and currently employs 17,000 full-time employees. The firm designs, manufactures and services engineered solutions across a range of critical applications. The company is an equipment and service provider for water and wastewater applications with a portfolio of products and services addressing the cycle of water, from collection, distribution and use to the return of water to the environment. The company has three business segments, which include Water Infrastructure, Applied Water and Sensus. Water Infrastructure focuses on the transportation, treatment and testing of water, offering a range of products, including water and wastewater pumps, and controls and systems. Applied Water serves the uses of water and focuses on the residential, commercial, industrial and agricultural markets. The Sensus segment's products include metering, networked communications, measurement and control technologies, software and services, including cloud-based analytics, remote monitoring and data management.",Industrials,US,10/12/2011,Xylem,Stock,"['Industrials', 'Diversified Industrials', 'Industrial Products']","['FELE', 'FLS', 'GRC', 'GGG', 'IEX', 'TMO', 'TTC', 'CFX', 'ITT']",93.8,16905761800.0,Xylem Inc,$,0,Xylem,False,Xylem,xylem,"$90,000,000,016,905,700,000.00 ",,Xylem,0.0,824,X
2578.0,10504.0,X,United States Steel Corp,USD,NYSE,Steel,"United States Steel Corp. engages in the manufacturing and selling of steel products. The company is headquartered in Pittsburgh, Pennsylvania and currently employs 29,000 full-time employees. The firm is engaged in producing flat-rolled and tubular products with production operations in North America and Europe. The firm operates through three segments: Flat-Rolled Products (Flat-Rolled), U. S. Steel Europe (USSE) and Tubular Products (Tubular). The Flat-Rolled segment includes the operating results of its integrated steel plants and equity investees in the United States involved in the production of slabs, rounds, strip mill plates, sheets and tin mill products, as well as all iron ore and coke production facilities in the United States. The USSE segment includes the operating results of U. S. Steel Kosice (USSK) and its integrated steel plant and coke production facilities in Slovakia. The Tubular segment includes the operating results of its tubular production facilities, primarily in the United States and equity investees in the United States and Brazil.",Basic Materials,US,4/12/1991,United States Steel,Stock,"['Basic Materials', 'Steel']","['STLD', 'AKS', 'WOR', 'PKX']",10.23,2254732800.0,United States Steel Corp,$,0,United States Steel,False,United States Steel,united-states-steel,"$9,000,000,002,254,730,000.00 ",,United States Steel,0.0,2579,X
2579.0,7783.0,XEC,Cimarex Energy Co,USD,NYSE,Oil & Gas E&P,"Cimarex Energy Co. is an independent oil and gas exploration and production company. The company is headquartered in Denver, Colorado and currently employs 955 full-time employees. The firm operates in exploration and production (E&P) segment. Its operations are located in Oklahoma, Texas and New Mexico. Its E&P activities take place primarily in two areas: the Permian Basin and the Mid-Continent region. Its Permian Basin region encompasses west Texas and southeast New Mexico. Its Mid-Continent region consists of Oklahoma and the Texas Panhandle. As of fiscal year ended December 31, 2016 (fiscal 2016), its activities in the Mid-Continent were focused in the Woodford shale and the Meramec horizon, both in Oklahoma. During fiscal 2016, production from the Mid-Continent averaged 457 millions of cubic feet equivalent (MMcfe) per day, or 47% of total company production. All of the Company's oil and gas assets are located in the United States. As of December 31, 2016, 63% of its total proved reserves were located in the Mid-Continent region and 37% were in the Permian Basin.",Energy,US,9/25/2002,Cimarex Energy,Stock,"['Energy', 'Oil & Gas E&P', 'Oil & Gas - E&P']","['CHK', 'NFX', 'DNR', 'APA', 'SM', 'CRK']",32.3,3296150270.0,Cimarex Energy Co,$,0,Cimarex Energy,False,Cimarex Energy,cimarex-energy,"$9,000,000,003,296,150,000.00 ",,Cimarex Energy,0.0,2580,X
2580.0,8481.0,XHR,Xenia Hotels & Resorts Inc,USD,NYSE,REIT Hotel & Motel,"Xenia Hotels & Resorts, Inc. is a real estate investment trust company, which engages in the investment in premium services, lifestyle, and urban upscale hotels. The company is headquartered in Orlando, Florida and currently employs 51 full-time employees. The firm invests in premium full service, lifestyle and urban upscale hotels, with a focus on various markets, as well as leisure destinations in the United States. The firm owns approximately 39 hotels comprising 11,245 rooms, across 16 states and the District of Columbia. The firm's hotels are primarily operated and/or licensed by Marriott, Kimpton, Hyatt, Aston, Fairmont, Hilton and Loews, as well as independent management companies. The firm's portfolio includes Andaz Napa, Andaz San Diego, Andaz Savannah, Aston Waikiki Beach Hotel, Bohemian Hotel Celebration, (an Autograph Collection Hotel), the Ritz-Carlton and Bohemian Hotel Savannah Riverfront, (an Autograph Collection Hotel).",Real Estate,US,2/4/2015,Xenia Hotels & Resorts,Stock,"['Real Estate', 'REIT - Hotel & Motel', 'REITs']","['PEB', 'RLJ', 'VAC', 'RHP']",11.17,1270375300.0,Xenia Hotels & Resorts Inc,$,0,Xenia Hotels & Resorts,False,Xenia Hotels & Resorts,xenia-hotels,"$9,000,000,001,270,370,000.00 ",,Xenia Hotels & Resorts,0.0,2581,X
