index,symbol,long name,currency,exchange,industry,description,sector,country,ipo date,shorter name,Type,Industries,Similar Companies,price,mktCap,name raw,currency symbol,robinhood name,short name,
7,JEMD,Nuveen Emerging Markets Debt 2022 Target Term Fund,,NYSE,Asset Management,,Financial Services,US,9/27/2017,Nuveen Emerging Markets Debt 2022 Target Term Fund,ETF,"['Financial Services', 'Asset Management']",[],7.23,102993520,Nuveen Emerging Markets Debt 2022 Target Term Fund of Beneficial Interest $0.01 par value per share,,Nuveen Emerging Markets Debt 2022 Target Term Fund,Nuveen Emerging Markets Debt 2022 Target Term Fund,
9,CHKR,Chesapeake Granite Wash Trust,USD,NYSE,Oil & Gas E&P,"Chesapeake Granite Wash Trust engages in the ownership of royalty interests. The company is headquartered in Houston, Texas and currently employs 0 full-time employees. The royalty interests held by the Trust (Royalty Interests) are derived from Chesapeake Energy Corporation's (Chesapeake) interests in specified oil and natural gas properties located in the Colony Granite Wash play in Washita County. Chesapeake conveyed the Royalty Interests to the Trust from its interests in approximately 70 existing horizontal wells (Producing Wells) and Chesapeake's interests in over 120 horizontal development wells (Development Wells) to be drilled on properties within the Area of Mutual Interest (AMI). The AMI lies within Washita County in western Oklahoma and is limited to Colony Granite Wash formation, where Chesapeake holds approximately 40,500 gross acres. Chesapeake has drilled and completed over 90 wells within the AMI. The Colony Granite Wash is located at the eastern end of Des Moines-age granite wash fields.",Energy,US,11/11/2011,Chesapeake Granite Wash Trust,ETF,"['Energy', 'Oil & Gas E&P', 'Oil & Gas - E&P']","['FCX', 'SDT']",0.2201,10289675,Chesapeake Granite Wash Trust representing beneficial interests in the Trust,$,0,Chesapeake Granite Wash Trust,
24,RLJ,RLJ Lodging Trust,USD,NYSE,REIT Hotel & Motel,"RLJ Lodging Trust is a real estate investment trust, which engages in the ownership and acquisition of hotels. The company is headquartered in Bethesda, Maryland and currently employs 84 full-time employees. The firm is engaged in the acquisition of focused-service and compact full-service hotels. The firm owns approximately 109 hotels with 23,280 rooms, located in 23 states and the District of Columbia, and an interest in one mortgage loan secured by a hotel. Its hotels' brand affiliations include Residence Inn, Courtyard, SpringHill Suites, Fairfield Inn & Suites, Marriott, Hilton Garden Inn, Hampton Inn/Hampton Inn & Suites, Embassy Suites, DoubleTree, Hilton and Hyatt Place. Its operating partnership is RLJ Lodging Trust, L.P. Its properties include Courtyard San Francisco, Courtyard Boulder Longmont, Residence Inn Longmont Boulder, DoubleTree Grand Key Resort and Residence Inn Detroit Novi.",Real Estate,US,5/11/2011,RLJ Lodging Trust,ETF,"['Real Estate', 'REIT - Hotel & Motel', 'REITs']","['AHT', 'DRH', 'PEB', 'CHSP', 'INN', 'SOHO', 'HPT', 'CDOR']",11.03,1820192640,RLJ Lodging Trust of Beneficial Interest $0.01 par value,$,RLJ Lodging Trust,RLJ Lodging Trust,
116,UTG,Reaves Utility Income Fund,USD,AMEX,Asset Management,"Reaves Utility Income Fund (the Fund) is closed-end management investment company. The Fund's investment objective is to provide a high level of after-tax income and total return consisting primarily of tax-advantaged dividend income and capital appreciation. The Fund intends to invest approximately 80% of its total assets in dividend-paying common and preferred stocks and debt instruments of companies within the utility industry. Approximately 20% of its remaining assets may be invested in other securities, including stocks, money market instruments and debt instruments, as well as certain derivative instruments in the utility industry or other industries. The Fund invests in various sectors, including multi-utilities; electric utilities; telecommunication services; media; oil, gas and consumable fuels; real estate investment trusts; road and rail; wireless telecommunication services; food products, and gas utilities. Reaves Asset Management is the Fund's investment advisor.",Financial Services,US,2/25/2004,Reaves Utility Income Fund,ETF,"['Financial Services', 'Asset Management']",[],33.79,1738127230,Reaves Utility Income Fund of Beneficial Interest,$,Reaves Utility Income Fund,Reaves Utility Income Fund,
92,NMZ,Nuveen Municipal High Income Opportunity Fund,USD,NYSE,Asset Management,"Nuveen Municipal High Income Opportunity Fund is a diversified closed-end management investment company. The Fund seeks to provide current income exempt from regular federal income tax by investing primarily in a portfolio of municipal obligations issued by state and local government authorities or certain territories in the United States. It invests in various sectors, such as transportation, healthcare, consumer staples, industrials and other. It invests in municipal securities that are exempt from federal income taxes. It may invest up to 75% of its managed assets in municipal securities rated, at the time of investment, Baa/BBB or lower by at least one nationally recognized statistical rating organization (S&P, Moody's, and Fitch) including below-investment grade securities, or unrated securities judged by the manager to be of comparable quality. Its investment advisor is Nuveen Fund Advisors, LLC.",Financial Services,US,11/20/2003,Nuveen Municipal High Income Opportunity Fund,ETF,"['Financial Services', 'Asset Management']",[],13.49,1087053820,Nuveen Municipal High Income Opportunity Fund $0.01 par value per share,$,Nuveen Municipal High Income Opportunity Fund,Nuveen Municipal High Income Opportunity Fund,
107,CLDT,Chatham Lodging Trust,USD,NYSE,REIT Hotel & Motel,"Chatham Lodging Trust engages in the acquisition and investment in hotel properties. The company is headquartered in West Palm Beach, Florida and currently employs 40 full-time employees. The firm invests primarily in upscale extended-stay and premium-branded select-service hotels. All of the Company's assets are held by, and all of its operations are conducted through Chatham Lodging, L.P. (the Operating Partnership). The firm owns over 42 hotels with an aggregate of 6,283 rooms located in 15 states and the District of Columbia. The firm's hotels included upscale extended-stay hotels that operate under the Residence Inn by Marriott brand and Homewood Suites by Hilton brand, as well as premium-branded select-service hotels that operate under the Courtyard by Marriott brand, the Hampton Inn or Hampton Inn and Suites by Hilton brand, the Hilton Garden Inn by Hilton brand, the SpringHill Suites by Marriott brand and the Hyatt Place brand.",Real Estate,US,4/16/2010,Chatham Lodging Trust,ETF,"['Real Estate', 'REIT - Hotel & Motel', 'REITs']","['HST', 'AHT', 'SHO', 'DRH', 'CHSP', 'RLJ', 'INN', 'HPT']",9.24,434024960,Chatham Lodging Trust of Beneficial Interest,$,Chatham Lodging Trust,Chatham Lodging Trust,
108,ECT,ECA Marcellus Trust I,USD,NYSE,Oil & Gas Integrated,"ECA Marcellus Trust I is a statutory trust. The company is headquartered in Houston, Texas. The Trust is formed by Energy Corporation of America (ECA) to own royalty interests in natural gas properties owned and operated by ECA in the Marcellus Shale formation in Greene County, Pennsylvania. The Trust does not conduct any operations or activities. The Trust's purpose is, in general, to hold the Royalty Interests to distribute to the Trust unitholders cash and to perform certain administrative functions in respect of the Royalty Interests and the Trust units. The Trust owns royalty interests in over 10 Producing Wells (the Producing Wells), and royalty interests in over 50 horizontal natural gas development wells to be drilled to the Marcellus Shale formation (the PUD Wells) within the area of mutual interest (AMI), in which ECA holds approximately 9,300 acres, of which it owned all of the working interests, in Greene County, Pennsylvania. The company owns Royalty Interests in over 40 development wells that are in production.",Energy,US,7/1/2010,ECA Marcellus Trust I,ETF,"['Energy', 'Oil & Gas Integrated', 'Oil & Gas - Integrated']","['SBR', 'VOC', 'CHKR']",0.4002,7045521,ECA Marcellus Trust I of Beneficial Interest,$,0,ECA Marcellus Trust I,
111,PEB,Pebblebrook Hotel Trust,USD,NYSE,REIT Hotel & Motel,"Pebblebrook Hotel Trust is a real estate investment trust, which engages in the investments and acquisition in hotel properties. The company is headquartered in Bethesda, Maryland and currently employs 50 full-time employees. The firm is a real estate investment trust (REIT) that acquires and invests in hotel properties located primarily in cities of the United States. The firm owns 56 hotels with a total of approximately 14,000 guest rooms. The hotels are located in the markets: Atlanta (Buckhead), Georgia; Boston, Massachusetts; Miami (Coral Gables), Florida; Naples, Florida; Nashville, Tennessee; New York, New York; Philadelphia, Pennsylvania; Portland, Oregon; San Diego, California; San Francisco, California; Santa Monica, California; Seattle, Washington; Stevenson, Washington; Washington, D.C.; West Hollywood, California, and Los Angeles (Beverly Hills), California. The firm's assets are held by, and all of the operations are conducted through, Pebblebrook Hotel, L.P. (the Operating Partnership).",Real Estate,US,12/9/2009,Pebblebrook Hotel Trust,ETF,"['Real Estate', 'REIT - Hotel & Motel', 'REITs']","['LHO', 'HST', 'CHSP', 'RLJ', 'INN', 'SOHO', 'HT', 'HPT', 'CDOR']",16.56,2167985410,Pebblebrook Hotel Trust of Beneficial Interest,$,Pebblebrook Hotel Trust,Pebblebrook Hotel Trust,
112,DOC,Physicians Realty Trust,USD,NYSE,REIT Healthcare Facilities,"Physicians Realty Trust is a real estate investment trust, which engages in the acquisition, development, owning, and managing of healthcare properties. The company is headquartered in Milwaukee, Wisconsin and currently employs 70 full-time employees. Physicians Realty L.P. is the operating partnership of the Trust. The Trust and its operating partnership are engaged in acquiring, developing, owning and managing healthcare properties that are leased to physicians, hospitals and healthcare delivery systems. As of December 31, 2016, the Company's portfolio consisted of 246 properties located in 29 states with approximately 10,883,601 net leasable square feet. The firm invests in real estate that is integral to providing healthcare services. The firm focuses its investment activity on various types of healthcare properties, such as medical office buildings; outpatient treatment and diagnostic facilities; physician group practice clinics; ambulatory surgery centers, and specialty hospitals and treatment centers. Its properties include Arrowhead Commons, Aurora Medical Office Building, Decatur Medical Office Building and El Paso Medical Office Building.",Real Estate,US,7/19/2013,Physicians Realty Trust,ETF,"['Real Estate', 'REIT - Healthcare Facilities', 'REITs']","['HR', 'ARE', 'VTR', 'LTC', 'NHI', 'HCP', 'WELL']",18.62,3877242880,Physicians Realty Trust of Beneficial Interest,$,Physicians Realty Trust,Physicians Realty Trust,
113,HT,Hersha Hospitality Trust,USD,NYSE,REIT Hotel & Motel,"Hersha Hospitality Trust is a self-advised real estate investment trust in the hospitality sector, which owns and operates hotels in urban gateway markets. The company is headquartered in Harrisburg, Pennsylvania and currently employs 54 full-time employees. The firm invests primarily in institutional grade hotels in urban gateway markets, including New York, Washington, District of Columbia, Boston, Philadelphia, South Florida and select markets on the West Coast. As of December 31, 2017, the Company's hotels included 50 hotels totaling 7,725 rooms located in New York, Washington, DC, Boston, Philadelphia, South Florida and select markets on the West Coast. The Company’s properties operate under brands that include Marriott International, Hilton Hotels, Hyatt Hotels, Intercontinental Hotel Group, and Pan Pacific.",Real Estate,US,5/27/1998,Hersha Hospitality Trust,ETF,"['Real Estate', 'REIT - Hotel & Motel', 'REITs']","['HST', 'AHT', 'DRH', 'PEB', 'CHSP', 'SOHO', 'HPT', 'CDOR']",6.2,237888416,Hersha Hospitality Trust of Beneficial Interest,$,Hersha Hospitality Trust,Hersha Hospitality Trust,
