,index,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,volume,avgVolume,exchange,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
0,3,AAPL,Apple Inc.,135.04,-0.26,-0.35,134.92,136.39,145.09,53.1525,2267064827904.0,133.76152,120.85295,20753427.0,103950088.0,NASDAQ,135.9,135.39,3.687,36.62598,2021-01-27T16:30:00.000+0000,16788098548.0,1613059203
1,317,MSFT,Microsoft Corporation,243.04,0.09,0.22,242.6,245.15,245.92,132.52,1833061056512.0,226.96788,216.085,4410400.0,28445108.0,NASDAQ,244.78,242.82,6.707,36.236767,2021-01-26T16:08:05.000+0000,7542219620.0,1613059203
2,35,AMZN,"Amazon.com, Inc.",3272.76,-0.42,-13.82,3265.08,3292.0,3552.25,1626.03,1648047423488.0,3240.6272,3200.0693,698694.0,3724853.0,NASDAQ,3292.0,3286.58,41.83,78.23954,2021-02-02T16:03:00.000+0000,503565010.0,1613059203
3,203,GOOGL,Alphabet Inc.,2079.06,-0.36,-7.42,2068.95,2094.0,2115.0,1008.87,1404475801600.0,1846.8679,1666.0377,297994.0,1676732.0,NASDAQ,2091.0,2086.48,58.613,35.470974,2021-02-02T21:00:00.000+0000,675534040.0,1613059203
4,202,GOOG,Alphabet Inc.,2082.84,-0.6,-12.54,2077.32,2102.03,2123.547,1013.536,1401053642752.0,1854.1766,1671.0083,293850.0,1578001.0,NASDAQ,2099.51,2095.38,58.613,35.535465,,672665036.0,1613059203
5,442,TSLA,"Tesla, Inc.",811.4793,0.83,6.6593,808.23,829.8799,900.4,70.102,778901651456.0,805.2076,529.2042,9079309.0,42715001.0,NASDAQ,812.44,804.82,0.64,1267.9364,2021-01-27T21:00:00.000+0000,959853999.0,1613059203
6,175,FB,"Facebook, Inc.",269.58,-0.84,-2.29,268.96,273.58,304.67,137.1,767674875904.0,266.6706,269.11572,3588269.0,18177504.0,NASDAQ,271.89,271.87,10.09,26.71754,2021-01-27T16:05:11.000+0000,2847669990.0,1613059203
7,462,V,Visa Inc.,209.665,1.72,3.545,206.98,211.575,220.39,133.93,462279835648.0,207.00757,203.75964,3271022.0,9018180.0,NYSE,207.33,206.12,4.844,43.283443,2021-01-28T16:05:01.000+0000,2204849811.0,1613059203
8,255,JNJ,Johnson & Johnson,166.44,-0.22,-0.37,166.235,167.38,173.65,109.16,438159933440.0,160.98666,150.86559,948961.0,8135741.0,NYSE,167.0,166.81,5.509,30.212381,2021-04-20T12:30:00.000+0000,2632539855.0,1613059203
9,257,JPM,JPMorgan Chase & Co.,139.51,-0.11,-0.15,139.32,140.54,142.75,76.91,425421799424.0,133.11243,111.871666,2521475.0,13901982.0,NYSE,139.66,139.66,8.88,15.710585,2021-04-14T12:30:00.000+0000,3049400039.0,1613059203
10,487,WMT,Walmart Inc.,144.393,0.18,0.263,143.89,144.7809,153.66,102.0,408529698816.0,144.7606,141.94485,1095739.0,7552727.0,NYSE,144.14,144.13,6.93,20.835932,2021-02-18T14:30:00.000+0000,2829290193.0,1613059203
11,340,NVDA,NVIDIA Corporation,605.93,2.6,15.36,597.0,610.05,610.05,180.68,375070654464.0,535.2267,519.53394,4466828.0,7346196.0,NASDAQ,599.21,590.57,6.117,99.056725,2021-02-24T21:00:00.000+0000,618999974.0,1613059203
12,383,PYPL,"PayPal Holdings, Inc.",298.318,5.35,15.138,286.97,302.1,302.1,82.07,349384081408.0,245.41849,210.23529,6439514.0,8373811.0,NASDAQ,287.33,283.18,3.54,84.27062,2021-02-03T16:17:28.000+0000,1171180021.0,1613059203
13,131,DIS,The Walt Disney Company,189.2,-0.23,-0.43,188.19,190.405,190.7,79.07,343257972736.0,176.43788,144.57616,3676592.0,11798503.0,NYSE,189.18,189.63,-1.588,,2021-02-11T21:00:00.000+0000,1814259898.0,1613059203
