,index,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,volume,avgVolume,exchange,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
0,3,AAPL,Apple Inc.,134.3799,1.83,2.4199,130.9315,134.8,145.09,53.1525,2255983214592.0,131.92313,118.708885,51446568,109613798,NASDAQ,133.75,131.96,3.687,36.44695,2021-01-27T16:30:00.000+0000,16788100115,1612198422
1,317,MSFT,Microsoft Corporation,240.0,3.47,8.04,232.46,240.13,242.64,132.52,1810132762624.0,221.45813,214.06598,13762553,29775703,NASDAQ,235.06,231.96,6.707,35.783512,2021-01-26T16:08:05.000+0000,7542219844,1612198422
2,35,AMZN,"Amazon.com, Inc.",3306.378,3.12,100.178,3235.025,3316.12,3552.25,1626.03,1658978435072.0,3210.0344,3185.174,1866569,3932870,NASDAQ,3242.36,3206.2,34.202,96.672066,2021-02-02T21:00:00.000+0000,501750990,1612198422
3,203,GOOGL,Alphabet Inc.,1884.98,3.15,57.62,1844.72,1888.77,1932.08,1008.87,1277901406208.0,1777.4613,1637.917,835803,1665765,NASDAQ,1844.58,1827.36,51.752,36.42333,2021-02-02T21:00:00.000+0000,677938973,1612198422
4,202,GOOG,Alphabet Inc.,1891.945,3.06,56.205,1850.93,1896.1,1934.86,1013.536,1276767764480.0,1784.0419,1642.4946,649862,1632550,NASDAQ,1853.57,1835.74,51.752,36.55791,,674844017,1612198422
5,442,TSLA,"Tesla, Inc.",827.3,4.26,33.77,796.0,829.0863,900.4,70.102,784198467584.0,760.0497,499.19724,13175096,44016145,NASDAQ,814.29,793.53,0.523,1581.8356,2021-01-27T21:00:00.000+0000,947900964,1612198422
6,175,FB,"Facebook, Inc.",259.21,0.34,0.88,254.91,260.87,304.67,137.1,738144550912.0,268.0647,267.6865,9664946,19235568,NASDAQ,259.52,258.33,10.09,25.68979,2021-01-27T16:05:11.000+0000,2847670039,1612198422
7,462,V,Visa Inc.,196.85,1.86,3.6,195.02,198.25,220.39,133.93,433774723072.0,207.88344,203.31102,5555839,8748475,NYSE,195.14,193.25,4.841,40.663086,2021-01-28T16:05:01.000+0000,2203580000,1612198422
8,255,JNJ,Johnson & Johnson,163.71,0.36,0.58,163.0605,165.31,173.65,109.16,430973124608.0,158.33875,150.04547,3171660,8147908,NYSE,165.31,163.13,5.509,29.71683,2021-04-20T12:30:00.000+0000,2632540007,1612198422
9,487,WMT,Walmart Inc.,140.3801,-0.08,-0.1099,139.19,141.49,153.66,102.0,397176012800.0,145.40187,141.37628,2779323,7516316,NYSE,140.91,140.49,6.93,20.256868,2021-02-18T14:30:00.000+0000,2829289998,1612198422
10,257,JPM,JPMorgan Chase & Co.,129.26,0.46,0.59,128.48,129.95,142.75,76.91,394165420032.0,129.4372,109.745544,3908293,15189283,NYSE,129.4,128.67,8.88,14.556306,2021-04-14T12:30:00.000+0000,3049399815,1612198422
11,340,NVDA,NVIDIA Corporation,526.3,1.29,6.71,516.11,526.44,589.07,180.68,325779685376.0,529.5647,511.90796,2069486,7733873,NASDAQ,522.133,519.59,6.117,86.0389,2021-02-24T21:00:00.000+0000,618999972,1612198422
12,362,PG,The Procter & Gamble Company,129.43,0.95,1.22,128.21,129.6597,146.92,94.34,318718738432.0,135.78375,137.0065,2224190,7098944,NYSE,129.0,128.21,5.292,24.457672,2021-01-20T07:00:01.000+0000,2462479629,1612198422
13,456,UNH,UnitedHealth Group Incorporated,335.32,0.52,1.74,332.83,338.15,367.95,187.72,318158667776.0,346.6197,326.87015,819449,3303608,NYSE,335.03,333.58,16.028,20.920889,2021-01-20T05:55:00.000+0000,948821030,1612198422
14,291,MA,Mastercard Incorporated,319.11,0.89,2.82,317.58,323.52,367.25,199.99,317340516352.0,337.01968,331.97583,1842477,4044991,NYSE,320.91,316.29,6.37,50.09576,2021-01-28T08:00:02.000+0000,994454941,1612198422
15,131,DIS,The Walt Disney Company,170.675,1.49,2.505,168.03,171.3,183.4,79.07,309648818176.0,174.15,141.07423,2833048,12191557,NYSE,170.835,168.17,-1.588,,2021-02-11T21:00:00.000+0000,1814259957,1612198422
16,215,HD,"The Home Depot, Inc.",269.885,-0.35,-0.935,267.2533,272.65,292.95,140.63,290558214144.0,271.72562,274.61285,1135645,4118047,NYSE,271.23,270.82,11.561,23.344435,2021-02-23T13:30:00.000+0000,1076600086,1612198422
17,383,PYPL,"PayPal Holdings, Inc.",239.8801,2.38,5.5701,235.4613,241.15,254.39,82.07,281065095168.0,237.25937,205.13263,2665657,8989714,NASDAQ,238.37,234.31,2.65,90.52079,2021-02-04T00:00:00.000+0000,1171689920,1612198422
18,55,BAC,Bank of America Corporation,29.7999,0.51,0.1499,29.57,29.96,35.45,17.95,257793277952.0,30.869375,26.847664,16785879,55733278,NYSE,29.87,29.65,1.87,15.935776,2021-04-15T12:30:00.000+0000,8650810169,1612198422
19,327,NFLX,"Netflix, Inc.",540.191,1.47,7.801,531.73,541.72,593.29,290.25,239247884288.0,526.3719,505.3014,1443453,5072018,NASDAQ,536.79,532.39,6.08,88.8472,2021-01-19T16:00:00.000+0000,442894984,1612198422
20,239,INTC,Intel Corporation,56.605,1.97,1.095,55.71,56.755,68.09,43.61,229986123776.0,52.404686,50.431606,10322346,41375844,NASDAQ,55.95,55.51,4.94,11.458502,2021-01-21T21:00:00.000+0000,4063000155,1612198422
21,98,CMCSA,Comcast Corporation,50.195,1.26,0.625,49.1,50.325,52.49,31.71,229658181632.0,50.33344,46.67,4410002,18479616,NASDAQ,49.86,49.57,2.278,22.034678,2021-01-28T07:00:00.000+0000,4575319885,1612198422
22,9,ADBE,Adobe Inc.,471.36,2.74,12.59,459.82,471.5215,536.88,255.13,225640022016.0,481.23593,475.59094,981895,2720178,NASDAQ,462.28,458.77,10.83,43.523544,2021-03-23T10:59:00.000+0000,478699979,1612198422
23,475,VZ,Verizon Communications Inc.,54.4895,-0.48,-0.2605,54.22,55.27,61.95,48.84,225477541888.0,58.137814,58.829926,9543453,16930418,NYSE,55.27,54.75,4.3,12.671976,2021-04-21T12:30:00.000+0000,4137999833,1612198422
24,7,ABT,Abbott Laboratories,124.54,0.77,0.95,122.915,124.7,124.72,61.61,220729704448.0,110.95,107.01533,2914276,5095273,NYSE,123.24,123.59,2.503,49.756294,2021-01-27T07:30:09.000+0000,1772359920,1612198422
25,329,NKE,"NIKE, Inc.",135.23,1.23,1.64,133.3,135.42,147.95,60.0,213188739072.0,140.49437,124.37197,1538763,5569388,NYSE,135.37,133.59,1.774,76.22886,2020-12-18T16:15:03.000+0000,1576489973,1612198422
26,112,CRM,"salesforce.com, inc.",228.165,1.15,2.605,224.745,229.02,284.5,115.29,209394778112.0,222.41,232.29942,2037191,9590606,NYSE,227.21,225.56,3.858,59.140743,2020-12-01T16:06:01.000+0000,917734000,1612198422
27,267,KO,The Coca-Cola Company,48.64,1.02,0.49,48.18,48.66,60.13,36.27,209026990080.0,51.25844,50.21007,4834893,18033155,NYSE,48.27,48.15,1.93,25.202072,2021-02-10T13:30:00.000+0000,4297429895,1612198422
28,435,TMO,Thermo Fisher Scientific Inc.,520.71,2.16,11.01,512.0,524.0,532.57,250.21,206375616512.0,485.93405,453.8081,817141,1817714,NYSE,516.84,509.7,12.194,42.70215,2021-02-01T13:30:00.000+0000,396335036,1612198422
29,425,T,AT&T Inc.,28.785,0.54,0.155,28.33,28.945,38.82,26.08,205121912832.0,29.1525,29.00438,22358046,43085247,NYSE,28.94,28.63,-0.75,,2021-01-27T06:34:00.000+0000,7126000098,1612198422
30,360,PFE,Pfizer Inc.,35.9053,0.01,0.0053,35.72,36.19,43.08,26.451612,199576027136.0,37.090313,36.234642,13288429,48160704,NYSE,35.93,35.9,1.538,23.34545,2021-02-02T13:30:00.000+0000,5558400212,1612198422
31,279,LLY,Eli Lilly and Company,208.16,0.09,0.19,207.155,209.82,218.0,117.06,199122108416.0,181.0322,156.38504,1503175,4690806,NYSE,209.46,207.97,6.788,30.66588,2021-04-27T12:30:00.000+0000,956581997,1612198422
32,313,MRK,"Merck & Co., Inc.",77.8,0.95,0.73,77.4,78.33,89.2,65.25,196836343808.0,80.98719,81.39051,3145524,9131762,NYSE,77.99,77.07,4.528,17.18198,2021-02-04T13:30:00.000+0000,2530030126,1612198422
33,113,CSCO,"Cisco Systems, Inc.",45.425,1.9,0.845,44.67,45.485,50.28,32.4,191943786496.0,44.905937,42.438393,5215213,21599755,NASDAQ,44.92,44.58,2.47,18.390688,2021-02-09T21:00:00.000+0000,4225509884,1612198422
