,date,open,high,low,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime,vwap
0,2020-01-10,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Jan 10,0.0,
0,2020-01-09,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Jan 09,0.0,
0,2020-01-08,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Jan 08,0.0,
0,2020-01-07,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Jan 07,0.0,
0,2020-01-06,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Jan 06,0.0,
0,2020-01-03,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Jan 03,0.0,
0,2020-01-02,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Jan 02,0.0,
0,2020-01-01,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Jan 01,0.0,
0,2019-12-31,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 31,0.0,
0,2019-12-30,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 30,0.0,
0,2019-12-27,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 27,0.0,
0,2019-12-26,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 26,0.0,
0,2019-12-25,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 25,0.0,
0,2019-12-24,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 24,0.0,
0,2019-12-23,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 23,0.0,
0,2019-12-20,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 20,0.0,
0,2019-12-19,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 19,0.0,
0,2019-12-18,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 18,0.0,
0,2019-12-17,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 17,0.0,
0,2019-12-16,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 16,0.0,
0,2019-12-13,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 13,0.0,
0,2019-12-12,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 12,0.0,
0,2019-12-11,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 11,0.0,
0,2019-12-10,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 10,0.0,
0,2019-12-09,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 09,0.0,
0,2019-12-06,25.415,25.415,25.415,25.415,41.0,41.0,0.0,0.0,Dec 06,0.0,
